Question ID,Fold,Answer,Category,Text
758233563,test,Japanese invasions of Korea,History:World,"1. Description acceptable. The Council of Five Elders immediately ended one of these conflicts after taking power. Wagons called hwachas, which launched hundreds of rocket arrows, were mass-deployed during one of these conflicts. A side in one of these conflicts employed a semicircular formation dubbed the ""crane wing."" The first truce in one of these conflicts was negotiated by the (*) Ming dynasty and was ended by the continuing Chongyu War. Iron spikes covered the roofs of boats called ""turtle ships"" that were deployed in one of these conflicts. In one of these conflicts, Admiral Yi repelled forces sent by Toyotomi Hideyoshi. For 10 points, identify these two late 16th-century conflicts between an East Asian archipelago and a nearby peninsula. ANSWER: Japanese invasions of Korea [accept answers that describe a war between Korea and Japan; accept Imjin War; accept Chongyu War until read; prompt on Japanese invasions or invasions of Korea] <Lalit Maharjan, History - World - Asian> ~29650~ <Editor: Noah Sheidlower>"
1929144866,test,electrolysis,Science:Chemistry,"2. Three joined upright cylinders perform this technique in a device invented by Hofmann. When run in reverse, regenerative fuel cells act as devices that perform this technique. Chlorine bubbles are produced as a byproduct of this technique in the Castner–Kellner process. This technique is performed on the output of the Bayer process in molten (*) cryolite (""CRY-oh-light"") in the major industrial process to produce aluminum. Two laws named for Michael Faraday govern this technique and explain the mass deposited when plating metals. Performing this technique on water at an electrode produces hydrogen and oxygen gas. For 10 points, name this technique that splits molecules using an electrical current. ANSWER: electrolysis [accept electrolyzers; accept electrolysis of water; prompt on electrochemical reaction; prompt on water splitting until ""water"" is read] <Geoffrey Wu, Science - Chemistry> ~31022~ <Editor: June Yin>"
3858484486,test,"""The Dead""",Literature:British,"3. A woman in this story complains about women being turned out of choirs for ""whipper-snappers of boys"" before a Black Gaiety tenor is praised. A man in this story asks why Trappist monks sleep in coffins. During a toast in this story, a man confuses women by calling them ""the Three Graces,"" and watches his wife on the stairs. A man in this story is called a ""West Briton"" and criticized by (*) Miss Ivors for going abroad, and gives a speech at a party hosted by his aunts Kate and Julia. This story ends with a man looking out into the snow after his wife Gretta says ""The Lass of Aughrim"" reminds her of Michael Furey, a boy who died for her. For 10 points, what story about Gabriel Conroy is the last in James Joyce's Dubliners? ANSWER: ""The Dead"" <Jaimie Carlson, Literature - British - Short Fiction> ~31137~ <Editor: Jaimie Carlson>"
877753982,test,John Maynard Keynes,Social_Science:Economics,"4. In one essay, this thinker described adopting the ""religion"" but discarding the ""morals"" of G. E. Moore while studying at Cambridge. E. F. Schumacher's ""Multilateral Clearing"" paper influenced this thinker's ""bancor"" proposal at a 1944 conference. A chapter by this Bloomsbury Group member uses the Cartesian phrase ""animal spirits"" to describe irrational behavior and imagines rational judges who try to predict the winners of a (*) beauty contest. This thinker, who quipped that ""in the long run, we are all dead,"" criticized the harshness of the Treaty of Versailles. For 10 points, name this economist who advocated deficit spending to combat recessions in The General Theory of Employment, Interest, and Money. ANSWER: John Maynard Keynes <Forrest Weintraub, Social Science - Economics> ~30577~ <Editor: Joseph Chambers>"
3750140784,test,television (The party was called Party to Protect the People from the NHK. Shari Redstone runs Paramount Global.),Current_Events:World,"5. A party ""to protect people"" from an organization that provides this service was founded by Japanese populist Takashi Tachibana. US companies offering this service have faced declining revenue pledged in ""upfronts."" A conglomerate run by Shari Redstone has been hurt by a decline in ""linear"" consumption of this service. In 2022, the UK froze increases in the mandatory (*) license fee required to receive this service. In 2025, an agency run by Brendan Carr received a petition to deregulate ownership rules for this service from conservative-leaning Sinclair. In 2021, AT&T wrote down 15 billion dollars after buying a company that provided this service via satellite. For 10 points, name this service whose ""public"" form in the US includes PBS. ANSWER: television [accept TV or cable television or satellite television or broadcast television; prompt on broadcasting or entertainment; prompt on local news by asking ""in what medium?""; reject ""internet"" or ""streaming""] (The party was called Party to Protect the People from the NHK. Shari Redstone runs Paramount Global.) <Michael Bentley, Current Events - World> ~27546~ <Editor: Michael Bentley>"
242408110,test,virtues,RMP:Philosophy,"6. A 1958 essay draws on an ancient philosopher's classification of these concepts by asking if their intellectual type has a ""moral aspect."" These concepts title a book that compares today’s ""dark age"" with a world where science is destroyed, by Alasdair MacIntyre. G. E. M. Anscombe's ""Modern Moral Philosophy"" helped spark the aretaic turn, which repopularized an ethical theory based on these concepts often contrasted with both (*) deontology and consequentialism. Pursuing these concepts results in a flourishing called eudaimonia, according to a book that views them as the ""golden mean"" between two negative extremes. For 10 points, Aristotle's Nicomachean Ethics argues for the pursuit of what opposites of vices? ANSWER: virtues [accept arete until ""aretaic"" is read; accept After Virtue] <Aum Mundhe, RMP - Philosophy> ~30191~ <Editor: Aum Mundhe>"
2819494684,test,tea,"History:Cross,_Historiography,_and_Miscellaneous","7. Widespread smuggling of this good in Britain was reduced via the 1784 Commutation Act. A company that made its fortune selling this good built Art Deco Corner Houses and is called J. Lyons and Co. Queen Catherine of Braganza popularized the non-medicinal use of this good in England. Smuggler Robert Fortune broke an Asian monopoly on this good, which became a major industry in the (*) Assam region of India. A 1773 law granting the British East India Company a monopoly to sell this good in North America led to the Coercive Acts. The Duchess of Belford popularized an afternoon ritual named for this good. For 10 points, the Sons of Liberty threw thousands of chests full of what good into Boston Harbor in 1773? ANSWER: tea [accept black tea or green tea or tea leaves] <Michael Bentley, History - Cross, Historiography, and Miscellaneous> ~30518~ <Editor: Michael Bentley>"
579185208,test,Yosemite National Park,Fine_Arts:Photography,"8. A print of a photograph of this location by Charles Leander Weed was used to advertise a hotel owned by James Mason Hutchings. Carleton Watkins created ""photographic views"" of this location with a ""mammoth plate"" camera. It's not in New Mexico, but a photograph taken in this location, subtitled ""Winter, Sunrise,"" was created by an artist who also photographed a different (*) landmark in this location beside a waxing gibbous moon. The Zone System was partly inspired by a photograph of a granite monolith in this location that was used to promote conservation efforts by the Sierra Club. For 10 points, name this national park where Ansel Adams took many photographs of Half Dome. ANSWER: Yosemite National Park [accept Yosemite Valley or Yosemite Falls; prompt on Sierra Nevada; prompt on California or CA; prompt on Half Dome or El Capitan by asking ""what national park is that located in?""] <Steven Yuan, Fine Arts - Photography> ~30617~ <Editor: Ganon Evans>"
4062645947,test,Ken Kesey,Literature:American,"9. A murderer, a priest, and an archaeologist search for ancient American artifacts in this author's collaborative novel Caverns, written by his creative writing class. A speech in a novel by this author divides people into ""rabbits"" and ""wolves"" and is given by Harding. In a novel by this author, the motto ""never give an inch!"" is used by the patriarch Henry Stamper as he breaks a strike to supply a (*) mill with logs. A man organizes an unauthorized fishing trip attended by Billy Bibbit and Chief Bromden in a novel by this author of Sometimes a Great Notion. For 10 points, name this author who wrote about Randle McMurphy rebelling against Nurse Ratched in a mental hospital in One Flew Over the Cuckoo's Nest. ANSWER: Ken Kesey [or Ken Elton Kesey] <Jaimie Carlson, Literature - American - Misc> ~30535~ <Editor: Jaimie Carlson>"
3807797781,test,linked lists,Science:Math_and_Computer_Science,"10. The memory required by these data structures can be reduced by storing only the bitwise XOR of two opposite values. Hitotumata and Noshita introduced a technique to manipulate these structures that Donald Knuth (""kuh-NOOTH"") popularized as ""dancing."" In hash tables, separate chaining typically uses these structures to store colliding keys. The roots of a (*) Fibonacci heap are placed into a ""circular"" one of these structures. These structures feature constant-time insertion without shifting and can be reversed by iterating over ""current,"" ""previous,"" and ""next"" values for the pointers that connect their nodes either ""singly"" or ""doubly."" For 10 points, name these linear data structures that are often conflated with arrays. ANSWER: linked lists [accept singly linked lists or doubly linked lists; prompt on lists; prompt on dancing links] <Lalit Maharjan, Science - Math and Computer Science> ~30619~ <Editor: David Bass>"
