Question ID,Fold,Answer,Category,Text
3556679219,test,disulfide bonds,Science:Chemistry,"1. DTT reduces these bonds by forming a six-membered ring. A primary cellular use of selenium is by enzymes that break these bonds like GPx. These bonds form when the antioxidant glutathione is oxidized in the cytoplasm. Beta-mercaptoethanol breaks these bonds before SDS-PAGE (""S-D-S page"") and was used to break them in Anfinsen's experiment. The enzyme (*) PDI in the endoplasmic reticulum rearranges these bonds, which hold together the light and heavy chains of antibodies. Irreversible denaturation occurs when these covalent bonds are broken. These covalent bonds, which are formed by the thiol groups of two cysteines (""SIS-teenz""), stabilize the tertiary structure of proteins. For 10 points, name these covalent bonds that join two S atoms. ANSWER: disulfide bonds [or disulfide bridges; accept sulfur-sulfur covalent bonds or any answer describing two sulfur atoms being linked; accept S-S bonds or answers describing two S atoms being linked until ""S"" is read; prompt on answers only mentioning one sulfur or S; prompt on covalent bonds until read] <Rohan Kher, Science - Chemistry> ~30063~ <Editor: June Yin>"
182329896,test,Alison Bechdel,Fine_Arts:Miscellaneous,"2. In a musical, one of this author's characters belts, ""Oh my god, why am I standing here?"" at the end of the climactic number ""Edges of the World."" One of this author's characters describes ""your swagger and your bearing and the just right clothes you're wearing"" in the musical number ""Ring of Keys,"" by Jeanine Tesori and Lisa Kron. In one work, this Oberlin-educated author depicted the suicide of her closeted father, who owned a (*) funeral parlor. A graphic novel by this author was adapted into the 2013 musical Fun Home, in which she comes out as a lesbian to her parents. A film must include a conversation between two named female characters about something other than a man in order to pass, for 10 points, what author's namesake ""test?” ANSWER: Alison Bechdel [accept Bechdel test] <Forrest Weintraub, Fine Arts - Miscellaneous> ~29751~ <Editor: Ganon Evans>"
3104499475,test,banshees,RMP:World_Mythology,"3. One of these beings is swept away by a ""Wave"" near the harbour of Glandore after being put to sleep by Manannan's music in Colloquy of the Ancients. One object became able to give deceptive power when Clíodhna (""CLEE-nuh""), a queen of these beings, instructed Cormac Laidir MacCarthy to kiss it. Les Lavandières (""lah-vah-dee-AIRS"") of Breton legend are analogues of these mythical beings that can be seen washing bloody clothes of dying people. These creatures, which are associated with namesake mounds and the (*) Morrigan, may summon a death coach via the traditional funerary practice of keening. These fae are said to shatter glass in parts of Leinster. For 10 points, name these female beings from Irish myth known for their wailing. ANSWER: banshees [or bean sidhe or ban sith; accept bean-nighe; prompt on fairy women or fairies or fae until ""fae"" is read] <Lalit Maharjan, RMP - World Mythology> ~29696~ <Editor: Sinecio Morales>"
1409979314,test,A Passage to India,Literature:British,"4. In this novel, a squirrel hangs on an unfinished house before one man shows another a picture of his dead wife. After a professor sings, two women in this novel remain in emotional ""cocoons"" for a fortnight. One of those women claims, ""I like mysteries but I rather dislike muddles,"" after attending a bridge party in this novel. This novel ends with two men riding horses as the earth and the sky say, (*) ""No, not yet."" In this novel, Mrs. Moore repeatedly hears the echo ""boum"" and is sent home by her son, Ronny Heaslop. Cyril Fielding defends a man in this novel in a trial where a woman’s broken field-glasses are used as evidence. For 10 points, Adela Quested accuses Dr. Aziz of attempting to rape her in the Marabar Caves in what E. M. Forster novel? ANSWER: A Passage to India <Jaimie Carlson, Literature - British - Long Fiction> ~30536~ <Editor: Jaimie Carlson>"
827820624,test,Marcos,History:World,"5. A member of this family boasts of her friendship with Saddam Hussein in Lauren Greenfield's documentary The Kingmaker. In 1994, a ruling that cited the 1789 Alien Tort Claims Act ordered this family to pay $1.2 billion in damages. Adnan Khashoggi helped a member of this family buy Manhattan's Crown Building. A member of this family grabbed diamonds for her exile in Hawaii after being overthrown. This family's patriarch was (*) forced out of the country after nuns stopped his troops from firing on demonstrators in the People Power Revolution. A museum in Marikina contains thousands of shoes owned by a member of this family nicknamed the ""Iron Butterfly."" For 10 points, name this family whose patriarch, Ferdinand, ruled the Philippines. ANSWER: Marcos [or Ferdinand Marcos; or Imelda Marcos; or Imelda Remedios Visitación Trinidad Romuáldez] <Michael Bentley, History - World - Asian> ~27129~ <Editor: Noah Sheidlower>"
2805931335,test,cello (The first clue refers to Boccherini's Ninth Concerto.),Fine_Arts:Music,"6. A Classical-period concerto for this instrument in B-flat major only barely resembles its arrangement in a late-Romantic style by Friedrich Grützmacher. In 1961, Oldřich Pulkert rediscovered Haydn's early C major concerto for this instrument. This is the higher instrument that plays recitative-like passages between quotations of prior movements in the finale of Beethoven's Ninth Symphony. The string quintet (*) Night Music of the Streets of Madrid and a ""Celebrated Minuet"" were written by this instrument's virtuoso Luigi Boccherini (""boh-keh-REE-nee""). A prelude in G major begins the first of J. S. Bach's six suites for this instrument, which were popularized by Pablo Casals. For 10 points, name this instrument played by Yo-Yo Ma. ANSWER: cello [or violoncello] (The first clue refers to Boccherini's Ninth Concerto.) <Forrest Weintraub, Fine Arts - Music - Classical> ~29771~ <Editor: Forrest Weintraub>"
2059110513,test,asteroids,Science:Other_Science,"7. Jack Wisdom's 1982 doctoral thesis hypothesized that a pattern in the distribution of these objects was caused by Arnol'd diffusion. A Russian-Polish railroad engineer pioneered work on a thermal force exerted on these objects that was added to models in CNEOS's Sentry-II software. OSIRIS-REx measured aspects of the Yarkovsky effect on one of these objects, which comprise the Hilda group. MMRs of (*) 3-to-1 and 5-to-2 correspond, respectively, to the semi-major axes 2.5 and 2.82 AU of the largest Kirkwood gaps in the distribution of these objects, which are exemplified by the dwarf planet Ceres. For 10 points, name these astronomical objects that appear between Mars and Jupiter in a namesake ""belt."" ANSWER: asteroids [accept meteoroids or near-Earth asteroids; accept answers describing objects in the main asteroid belt; prompt on NEAs] <David Bass, Science - Other Science> ~30848~ <Editor: David Bass>"
2771919768,test,bog bodies,Social_Science:Anthropology,"8. One of these things found in Rabivere, Estonia, in 1936 was disposed of before it could be properly studied. Alfred Dieck fabricated evidence of these things, which provide evidence of the Suebian knot. A 1969 book by P.V. Glob summarized research on these specimens, including ones found in Elling and Tollund. These specimens are (*) preserved by the antibacterial properties of sphagnum. These usually Iron-Age specimens frequently exhibit signs of violent deaths, which has fueled speculation about ritual sacrifice among Germanic peoples. These specimens' bones are usually dissolved, leaving behind darkened soft tissue. For 10 points, name these human remains found buried beneath layers of peat. ANSWER: bog bodies [accept bog skeletons or bog mummies or bog people; accept singular forms such as bog body; accept natural mummies; prompt on mummies; prompt on dead bodies or preserved bodies or skeletons or mummies or people or remains by asking ""in what locations were they found?""] <Joseph Chambers, Social Science - Anthropology> ~30857~ <Editor: Joseph Chambers>"
1554786865,test,London,History:European,"9. A postwar housing crisis in this city was partly caused by the 1944 Abercrombie Plan proscribing an outer Green Belt. Property prices in this most populous city in its country increased following a scheme introduced in the 1980s called Right to Buy. This city's Brutalist Trellick Tower was built as part of a broader council house project advocated for by Aneurin (*) Bevan (""uh-NYE-rin BEV-in""). In 2017, a building in this city with an aluminum cladding manufactured by Arconic caught fire, killing 70 people in the Grenfell Tower disaster. Two suffragette attacks in this city targeted its St. Martin-in-the-Fields Church, as well as St. Paul's Cathedral. For 10 points, name this capital city where many houses were destroyed during The Blitz. ANSWER: London <Michael Bentley, History - European - 1900+> ~29702~ <Editor: Noah Sheidlower>"
4045339421,test,"State of Palestine (The poem from the first line is ""Mawtini"" by Ibrahim Tuqan and was adopted as the National Anthem of Iraq.)",Literature:World_and_Miscellaneous,"10. In a poem adopted as the national anthem of a different country, the ""Poet of"" this country declared both ""the sword and the pen"" as ""our symbols."" A woman from this country describes how she misses ""the smell of coffee"" in her late poem ""Longing Inspired by the Law of Gravity."" The speaker declares, ""You killed me…and I forgot, like you, to die"" while within the ""ancient walls"" of a city in this country. It's not Lebanon, but a poet from this country reflected on the siege of Beirut in the prose poem (*) Memory for Forgetfulness. A poet from this country declares to ""beware, beware of my hunger"" in the poem ""Identity Card."" For 10 points, name this country home to the literary Tuqan family and Mahmoud Darwish. ANSWER: State of Palestine [or Dawlat Filastin; prompt on Israel] (The poem from the first line is ""Mawtini"" by Ibrahim Tuqan and was adopted as the National Anthem of Iraq.) <Jim Fan, Literature - World and Miscellaneous> ~30790~ <Editor: Jim Fan>"
