Question ID,Fold,Answer,Category,Text
3415874791,test,Winslow Homer,Fine_Arts:Painting,"1. A painting by this artist inspired a 2022 Hugh Hayden sculpture that was included in a Met exhibition titled after this artist's ""crosscurrents."" A man prepares for a Junkanoo festival by donning a multicolored costume in this artist's Dressing for the Carnival. This artist's painting of four Confederate soldiers surrendering for Harper's Weekly was mimicked in A Visit from the Old Mistress. Several landscapes of rocky cliffs by this artist were created near his studio in (*) Prout's Neck, Maine. This artist's numerous trips to the Bahamas inspired a painting in which a group of sharks surrounds a stranded Black man. For 10 points, name this American artist whose seascapes include The Gulf Stream. ANSWER: Winslow Homer [accept Winslow Homer: Crosscurrents] <Steven Yuan, Fine Arts - Painting - U.S. to 1945> ~30801~ <Editor: Ganon Evans>"
3775980093,test,sin,RMP:Christian_Practice,"2. Ernst Cassirer cited a type of this concept as the ""common opponent"" of the Enlightenment. Catholicism and Pelagianism are on alternate sides of a debate in hamartiology (""ha-MAR-tee-ology"") concerning whether Romans 5 supports the existence of a form of this concept. Jansenists claim free will cannot exist due to a condition named for this concept. This concept’s transmission via ""concupiscence"" as described in (*) Augustine’s Confessions inspired later thinkers like John Calvin to refer to a human inclination toward it. Scholars debate whether the fall of Adam and Eve imparted the ""original"" form of this concept on human nature. Pride is included among ""seven deadly"" examples of, for 10 points, what transgressions against God? ANSWER: sin [accept seven deadly sins; accept original sin; accept hereditary sin or ancestral sin; accept Adam and Eve's sin] <Sinecio Morales, RMP - Christian Practice> ~31260~ <Editor: Sinecio Morales>"
279677058,test,Belfast,History:European,"3. A mother of 10 living in this city named Jean McConville disappeared in 1972. A convergence point in this city called Clonard (""CLAW-nard"") was a frequent site of violence. In 1969, a child in this city was killed in Divis Flats by a stray bullet fired by the RUC. Short Strand is home to one of this city's many ""peace walls."" Nationalists who lived along this city's Falls Road were bitter rivals of those living on Shankill Road. A successor to the (*) Sunningdale Agreement named for this city was opposed by the Democratic Unionist Party at Stormont. Violence in this capital decreased following the signing of the 1998 Good Friday Agreement. For 10 points, name this capital city ravaged by The Troubles in Northern Ireland. ANSWER: Belfast <Michael Bentley, History - European - 1900+> ~31017~ <Editor: Noah Sheidlower>"
2581027569,test,DNA polymerases,Science:Biology,"4. One of these enzymes called ""terminal transferase,"" or ""TdT,"" is central to the TUNEL assay. Some functionality of one of these enzymes is maintained in the cleaved ""large"" Klenow fragment. These enzymes produce concatemers in a repetitive ""rolling circle"" process. A homotrimer that serves as a processivity factor for one of these enzymes is the ""sliding clamp"" PCNA. These enzymes, whose activity follows strand invasion, catalyze (*) synthesis that occurs alongside the activity of both topoisomerases and helicases. Ligation is needed to combine the Okazaki fragments synthesized by the ""delta"" one of these enzymes on the lagging strand during replication. For 10 points, name these proteins that make new DNA. ANSWER: DNA polymerases [accept DNA Polymerase I or DNA Polymerase III or DNA Polymerase kappa or DNA Polymerase delta; prompt on polymerases; accept answers without ""DNA"" at the end; reject ""RNA polymerases""] <David Bass, Science - Biology> ~31145~ <Editor: David Bass>"
3372736471,test,Ancient Greek,Literature:World_and_Miscellaneous,"5. A professor of this language who is slowly going blind teaches it to a mute woman in a 2011 Han Kang novel that was translated into English in 2023. A book in this language is the only possession of László de Almásy that survives a plane crash in Michael Ondaatje's The English Patient. A city drinks its dead king's blood in the title ""Communion Rite"" of Wole Soyinka's adaptation of a play in this language. The blind man (*) Seven Seas represents an author who used this language in a poem that reimagines his characters as St. Lucian fishermen. A gay romance novel inspired by a work in this language was the debut novel of Madeline Miller. For 10 points, a work in what language inspired Margaret Atwood's Penelopiad? ANSWER: Ancient Greek [or Classical Greek; or Hellēnikḗ; accept Greek Lessons; reject ""modern Greek""] <Forrest Weintraub, Literature - World and Miscellaneous> ~30226~ <Editor: Jim Fan>"
1386504772,test,Lake Chad,History:World,"6. The gagara boats used to cross this body of water were replaced by Idris Alooma, according to a history by ibn Furtu. The Duguwa dynasty established the city of Njimi near this body of water, which was governed by rulers called mais (""MY-ees""). Heinrich Barth publicized a history of a Kanuri-speaking empire based on this body of water, the Girgam. Usman dan Fodio's (*) Sokoto Caliphate conquered states near this body of water as part of his Fulani Jihad. The empires of Kanem and Bornu surrounded this body of water. Though a ""mega"" version of this body of water formed during the African Humid Period, climate change has reduced its surface area. For 10 points, name this lake that is the namesake of a Central African country. ANSWER: Lake Chad [or Buhayrat ta-Shad; accept Lake Mega-Chad] <Cole Hartung, History - World - African> ~31176~ <Editor: Noah Sheidlower>"
3823138552,test,stability,Science:Physics,"7. This property is implied by the absence of non-trivial points from the largest invariant set via LaSalle's invariance principle. A numerical analog of this property is difficult to achieve while solving stiff O·D·Es. This property's ""i.s.L.,"" ""asymptotic,"" and ""exponential"" forms are defined via a Lyapunov function. The [emphasize] absence of this property names a fluid phenomenon that is co-named for (*) Rayleigh and Taylor. Local energy minima house states with the ""meta"" form of this property. This property arises when the second derivative is positive at an equilibrium. This property is notably lacked by the inverted pendulum. For 10 points, name this property of systems that return to their resting states when perturbed. ANSWER: stability [or stable; accept asymptotic stability or exponential stability or stability in the sense of Lyapunov or stability i.s.L. or Lyapunov stability or numerical stability or metastability] <David Bass, Science - Physics> ~31167~ <Editor: David Bass>"
1500219498,test,rats,Other:Other_Academic_and_General_Knowledge,"8. Visitors who kill one of these animals at the Karni Mata Temple must provide a solid gold replacement. Working in Maryland, John B. Calhoun developed the concept of behavioral sinks while studying a colony of the Norway species of these animals. A nocturnal North American variety of these animals noted for their hopping abilities are the (*) ""kangaroo"" type. They're not human children, but as per the Brothers Grimm, these animals were led away from Hamelin by the Pied Piper. New Zealand's Breaksea Island was a pioneer in using Brodifacoum (""broh-DIF-uh-koom"") to eradicate these animals. For 10 points, the New York subway system was home to a pizza-loving example of what rodents, whose fleas are commonly blamed for spreading the Black Death? ANSWER: rats [accept Norway rats or black rats or brown rats; prompt on rodents until read; reject ""mice""] <Michael Bentley, Other - Other Academic and General Knowledge> ~30581~ <Editor: Michael Bentley>"
4216968898,test,The Red and the Black,Literature:European,"9. The first of this novel's chapter epigraphs, which reads ""put thousands together less bad, but the cage less gay,"" is wrongly attributed to Thomas Hobbes. In this novel, a man misses the forests of Vergy (""vair-ZHEE"") while imprisoned after firing two shots in a church. A Voltaire-reading woman uses a marble tomb to hold a human head in this novel, which is subtitled (*) ""Chronicle of the Nineteenth Century."" After his affair is exposed by Valenod (""vah-luh-noh""), this novel's protagonist works at a seminary with Abbé Pirard (""ah-BAY pih-RAR""). At the end of this novel, Mathilde de la Mole (""mah-TEELD duh lah MOHL"") and Madame de Rênal (""mah-DAHM duh reh-NAL"") both fail to stop the execution of Julien Sorel (""zhoo-lee-ahn soh-REL""). For 10 points, the clergy and the army are represented by what Stendhal (""stond-ahl"") novel's two title colors? ANSWER: The Red and the Black [or Red and Black or Scarlet and Black or Le Rouge et le Noir: Chronique du XIXe Siècle] <Kevin Wang, Literature - European - Long Fiction> ~29757~ <Editor: Joseph Krol>"
3427091227,test,video games (The third line is Cuphead.),Fine_Arts:Miscellaneous,"10. A 2011 work in this medium by Pippin Barr recreates performance artist Marina Abramovic's The Artist is Present. Clouds scroll through one of the many modifications to works in this medium by Cory Arcangel. A work in this medium inspired by the Fleischer Brothers' cartoons depicts a character dressed like Cab Calloway in a purple suit. A 2007 work in this medium directed by Ken Levine responds to Ayn Rand with the character (*) Andrew Ryan. “Inside the Castle Walls” and “Great Fairy Fountain” are songs conducted for this medium by Koji Kondo. Directors in this medium include Hideo Kojima and Shigeru Miyamoto. For 10 points, a debate about the ""art"" of what medium includes works like BioShock and The Legend of Zelda? ANSWER: video games [accept computer games or Nintendo games or Flash games or NES games; prompt on games] (The third line is Cuphead.) <Jamie Burchett, Fine Arts - Miscellaneous> ~30298~ <Editor: Ganon Evans>"
