Question ID,Fold,Answer,Category,Text
337688254,test,France AND Mexico,History:World,"1. Two answers required. A military unit from one of these two countries has preserved the wooden hand of a captain killed fighting the other at the Battle of Camarón. An artist from one of these two countries painted the shooting of the other's ruler at the Hill of the Bells. One of these two countries invaded the other after its president placed a two-year moratorium on foreign debt repayment shortly after the Reform War. The (*) Pastry War was fought between these two countries, one of which supported Maximilian I as emperor of the other. Charles de Lorencez's (""LORE-uhn-says"") defeat at the Battle of Puebla between these two countries is commemorated on Cinco de Mayo. For 10 points, name these countries led by Benito Juárez and Napoleon III. ANSWER: France AND Mexico [or Kingdom of France or Second French Empire in place of ""France""; or Second Federal Republic of Mexico, Second Mexican Empire, or Centralist Republic of Mexico or in place of ""Mexico""] <Cooper Roh, History - World - Miscellaneous> ~29818~ <Editor: Noah Sheidlower>"
1788124110,test,integral,Science:Math_and_Computer_Science,"2. This operation yields a value proportional to the negative-first coefficient of a Laurent series in a theorem named for that coefficient. Édouard Goursat (""gore-SAH"") showed that a form of this operation vanishes for a holomorphic function over a simply connected domain while improving upon a proof by Cauchy (""KOH-shee""). The residue theorem is used to perform this operation, which is applied in both two and three (*) dimensions in Stokes's theorem. A ""fundamental theorem"" reduces this operation to a difference between two values of the function capital-F. A ""curtain"" visualizes the ""line"" form of this operation that can be calculated ""by parts"" or with u-substitution. For 10 points, name this operation that yields a function's antiderivative. ANSWER: integral [or integration or line integral or closed line integral or surface integral or contour integral] <David Bass, Science - Math and Computer Science> ~29618~ <Editor: David Bass>"
1377186387,test,Mississippi River (The excerpt from Life on the Mississippi is from an unpublished draft of Huckleberry Finn.),Literature:American,"3. Seven articles in the Atlantic together titled for ""Old Times"" in this place were adapted into a memoir including a book excerpt where Dick Allbright fears a haunted barrel here. That memoir begins by calling this place ""well worth reading about."" In that memoir titled for this place, X falls asleep here, and Horace Bixby teaches the author to memorize its shape. A term used in this place for a distance of two (*) fathoms allegedly inspired the pen-name of an author who wrote a memoir about ""Life on"" it. A novel's protagonists meet two con artists, the Duke and the Dauphin (""DOH-fan""), on a raft in this place. For 10 points, Mark Twain's time as a boatman on what river inspired The Adventures of Huckleberry Finn? ANSWER: Mississippi River [accept Old Times on the Mississippi or Life on the Mississippi; prompt on the American Southeast] (The excerpt from Life on the Mississippi is from an unpublished draft of Huckleberry Finn.) <Joseph Krol, Literature - American - Misc> ~28204~ <Editor: Jaimie Carlson>"
940162675,test,tenor saxophone,Fine_Arts:Jazz,"4. Miles Davis' album Bags' Groove features three early compositions by a player of this non-vibraphone instrument, including ""Doxy"" and ""Oleo."" An album titled ""[this instrument] Madness"" features two players of it, one of whom practiced on the Williamsburg Bridge for 15 hours a day. A Bahamian (""buh-HAY-me-in"") folk song inspired a player of this instrument to write ""St. Thomas,"" which begins his album ""[this instrument] (*) Colossus."" A chord progression developed by a player of this instrument cycles through keys a major third apart. Sonny Rollins played this instrument, as did a musician who used the ""sheets of sound"" style of improvisation on albums like Giant Steps. For 10 points, name this instrument played by John Coltrane. ANSWER: tenor saxophone [accept tenor; accept Saxophone Colossus; accept Tenor Madness] <Forrest Weintraub, Fine Arts - Jazz> ~29573~ <Editor: Ganon Evans>"
2228240980,test,amygdala,Social_Science:Psychology,"5. The patient known as S.M. has a lesion on this structure resulting from Urbach–Wiethe (""UR-bock VEE-tuh"") disease. James McGaugh's research suggests that this structure's basolateral region plays a large role in memory consolidation. This structure coordinates more strongly with the nuclear accumbens after classical conditioning. The olfactory bulb directly connects to this structure, which sits atop the hippocampus. This part of the (*) temporal lobe is a key component of the limbic system. This structure signals the hypothalamus to trigger the fight-or-flight response, and stimulation of this structure may increase aggression. For 10 points, name this almond-shaped brain structure known for regulating emotions like fear. ANSWER: amygdala [prompt on temporal lobe until read] <Joseph Chambers, Social Science - Psychology> ~30304~ <Editor: Joseph Chambers>"
3262757956,test,Thomas Cole,Fine_Arts:Painting,"6. This artist depicted a lord's party leaving a castle at sunrise and then hanging their heads in defeat at sunset in the paired paintings The Departure and The Return. A volcano erupts behind a glimmering mountain in this artist's Expulsion from the Garden of Eden. A fierce tempest provides the background of a painting by this artist that shows a bridge collapsing under the weight of a crowd and a headless statue posed with its arm raised like the (*) Borghese Gladiator. A series by this artist contains a rocky outcrop in the background of all five of its paintings that depict the rise and fall of a civilization. For 10 points, name this painter of the Course of Empire series who founded the Hudson River School. ANSWER: Thomas Cole <Forrest Weintraub, Fine Arts - Painting - U.S. to 1945> ~29544~ <Editor: Ganon Evans>"
2805395322,test,Venice,Literature:European,"7. The freelance journalist Jeff Atman travels to this city to conduct an interview at a festival in a novel by Geoff Dyer. Another book's protagonist ultimately travels to this city after standing outside another city's Byzantine mortuary chapel, where he notices a mysterious man wearing a straw hat. The protagonist of a book mainly set in this city, who perceives a ""summoner"" before collapsing in a chair, wrote the (*) novels Maia and The Abject. While on holiday in this city, that novella's protagonist eats overripe strawberries and develops cholera before watching Tadzio (""TAD-zhoh"") play on the beach. For 10 points, name this Italian city where Gustav von Aschenbach (""ASH-un-back"") dies in a novella by Thomas Mann. ANSWER: Venice [or Venezia or Venedig; accept Death in Venice or Der Tod in Venedig; prompt on Jeff in Venice, Death in Varanasi] <Will Grossman, Literature - European - Long Fiction> ~17302~ <Editor: Joseph Krol>"
659676636,test,Emancipation Proclamation,History:American,"8. A Harriet Hosmer monument commemorating this document failed to be funded by the Western Sanitary Commission. A more radical version of this document by Robert Dale Owen was published in the New York Evening Post. News about this document was spread by a man who read it from a balcony, Gordon Granger. Accepting this document's provisions was a requirement for the author's later statement on (*) Amnesty, dubbed the ""ten percent plan."" This document's Preliminary version was issued following a victory for George McClellan. This document only covered areas in rebellion prior to the Thirteenth Amendment. For 10 points, name this text authored by Abraham Lincoln that freed some of the nation's enslaved people. ANSWER: Emancipation Proclamation [or Proclamation 95; accept Preliminary Emancipation Proclamation or Final Emancipation Proclamation] <Michael Bentley, History - American - Pre-1865> ~28772~ <Editor: Noah Sheidlower>"
2163037824,test,titration,Science:Chemistry,"9. One type of this technique uses dyes like Fast Sulphon Black or Murexide. This technique is paired with calorimetry to measure the binding of small molecules to proteins at constant temperature. This technique is performed after Kjeldahl (""KELL-dal"") digestion to measure a sample's nitrogen content. A form of this technique reacts thiosulfate with a mixture of manganese and iodide to determine oxygen concentration in the (*) Winkler test. The ""complexometric"" type of this technique uses EDTA to chelate (""KEE-late"") metal ions out of solution. This technique may use an indicator such as phenolphthalein (""FEE-nawl-THAL-een"") to detect a change in pH at the equivalence point. For 10 points, name this technique in which a buret (""byur-ET"") is used to add a solution drop by drop. ANSWER: titration [or titrating; accept complexometric titration or colorimetric titration or Winkler titration or isothermal titration calorimetry] <June Yin, Science - Chemistry> ~29748~ <Editor: June Yin>"
4293018561,test,fascism,RMP:Philosophy,"10. Variants of this system were likened to overlapping three-letter strings in a 1995 essay that described a self-styled ""super-"" holder of it, Julius Evola. This system names a personality test measuring receptiveness to it developed by Theodor Adorno. The section ""Fundamental Ideas"" of ""The Doctrine of [this ideology]"" was ghostwritten by Giovanni Gentile. Fourteen principles characterizing this ideology, such as action for action's sake, were formulated in an (*) Umberto Eco essay titled for its ""ur-"" form. This ideology was named for a Roman symbol of a bundle of sticks by a leader who was often defended for supposedly making the trains run on time. For 10 points, name this far-right ideology of Benito Mussolini. ANSWER: fascism [or fascismo; accept word forms like fascist; accept ""Ur-Fascism""; accept ""The Doctrine of Fascism"" or ""La dottrina del fascismo""; accept superfascist; prompt on F-scale by asking ""what does the ‘F’ stand for?""; prompt on authoritarianism or totalitarianism] <Aum Mundhe, RMP - Philosophy> ~30137~ <Editor: Aum Mundhe>"
