Question ID,Fold,Answer,Category,Text
1789439624,test,twisting (The angle of twist is denoted phi.),Science:Physics,"1. In a lab demo, the Wilberforce pendulum alternates between translational motion and this process. Pablo Jarillo-Herrero's group discovered ""magic"" values for this process that names a class of superconductive graphene-based materials. A measure of this process, denoted phi, is multiplied by radius over length to yield the shear strain. This process composes the five ""fundamental"" loading conditions alongside compression, tension, shear, and (*) bending. This type of deformation is the typical result of a force with non-zero lever arm. The devices used for the first measurements of the gravitational constant and Coulomb's constant are this process' ""balances."" For 10 points, what type of deformation is caused by torque? ANSWER: twisting [accept torsion or torsion balance; accept twisted bilayer graphene; accept twist angle; prompt on rotation; prompt on torque until read; prompt on elastic deformation or angular deformation until ""deformation"" is read] (The angle of twist is denoted phi.) <Forrest Weintraub, Science - Physics> ~29762~ <Editor: David Bass>"
2093908669,test,Sharia law,RMP:Islam,"2. One leader claimed divine control of this system is impinged upon by istiḥsan. The abangan use traditional systems like adat as opposed to this system employed by santri people, who are educated at boarding schools called pesantren. This system stipulates a difference between blood money and ""equal retaliation."" Malaysian bodies operating under this system that identify infractions like tazir and hudud often order (*) caning as punishment. Aceh (""AH-chay"") is the only province in Indonesia to incorporate this system in its jinayat criminal cases. The human interpretation of this system is referred to as fiqh, under which this system's four sources include sunnah and the Qur'an. For 10 points, name this system of Islamic law. ANSWER: Sharia law [prompt on Islam until ""Islamic"" is read; prompt on Islamic law until read; prompt on fiqh or jurisprudence before ""fiqh"" read] <Sinecio Morales, RMP - Islam> ~31225~ <Editor: Sinecio Morales>"
4153539785,test,"Bertolt Brecht (Brecht wrote Mother Courage and Her Children with Margarete Steffin, and The Good Person of Szechuan with Steffin and Ruth Berlau.)",Literature:European,"3. A John Fuegi book titled for this author's ""life and lies"" alleges that many of his plays were written by his female companions. In a play mainly written by this author, a water seller describes the arrival of three gods, who give a thousand silver dollars to a sex worker which she uses to start a tobacco business. This author encouraged audiences not to sympathize with characters by using his (*) ""distancing effect"" in plays like The Good Person of Szechuan (""sitch-WAN""). Kattrin is shot late in a play mainly written by this author, in which Swedish soldiers fighting in the Thirty Years' War buy food from a cart operated by Anna Fierling. For 10 points, name this German lead playwright of Mother Courage and Her Children. ANSWER: Bertolt Brecht [or Eugen Berthold Friedrich Brecht; accept The Life and Lies of Bertolt Brecht] (Brecht wrote Mother Courage and Her Children with Margarete Steffin, and The Good Person of Szechuan with Steffin and Ruth Berlau.) <Noah Chin, Literature - European - Drama> ~29791~ <Editor: Joseph Krol>"
3275936901,test,Salt March,History:World,"4. This event's leader was convinced to allow women to participate by a poet known as her country's ""nightingale."" At the end of this event, its leader declared himself to be ""shaking the foundations"" of a regime. Over 60,000 people were jailed after this event, including leaders who subsequently boycotted the First Round Table Conference conducted by Lord Irwin. Westerners were inspired by the ideology of (*) ""holding on by truth"" best exemplified by this event, after which Lord Irwin agreed to lift the 1882 tax that this event protested. This event, which ended in Dandi, was the most publicized example of satyagraha, a form of nonviolent protest. For 10 points, name this 1930 walk led by Gandhi to protest the British Raj. ANSWER: Salt March [accept Salt Satyagraha; accept Salt March to Dandi; accept answers mentioning a march to Dandi until ""Dandi"" is read; prompt on partial answer] <Rohan Kher, History - World - Asian> ~29676~ <Editor: Noah Sheidlower>"
1371310138,test,Faust,Fine_Arts:Music,"5. A three-movement symphony titled for this character starts with low strings holding an A-flat, then arpeggiating four augmented triads in an early use of a tone row. This is the first title character of a cantata that won a 19-year-old Lili Boulanger (""boo-lawn-ZHAY"") the Prix de Rome. An 1846 légende (""lay-ZHAHND"") dramatique titled for this character features a traditional Hungarian march. A setting of ""Veni, creator spiritus"" and a depiction of this man make up Mahler's (*) Eighth Symphony. The ""Dance of the Sylphs"" appears in Berlioz's cantata The Damnation of [this man], who also titles an opera by Charles Gounod. For 10 points, what legendary scholar inspired Franz Schubert's ""Gretchen at the Spinning Wheel"" and Franz Liszt's Mephisto Waltzes? ANSWER: Faust [or Doctor Faustus; accept Faust Symphony; accept Faust et Hélène; accept The Damnation of Faust or La Damnation de Faust] <Joseph Chambers, Fine Arts - Music - Romantic> ~30250~ <Editor: Forrest Weintraub>"
3885207942,test,Algerian War,"History:Cross,_Historiography,_and_Miscellaneous","6. The de facto leader of a population displaced by this conflict was known as The Bachaga. An offshoot of the SDECE called the Red Hand carried out assassinations during this conflict. PAMs (""P-A-Ms"") captured during this conflict might be electrocuted with the Gégène (""zhay-ZHEN"") torture device. Refugees from this conflict were often placed in remote detainee camps and were stigmatized as (*) ""Harkis."" During this conflict, Raoul Salan co-founded the terrorist group the OAS. European refugees from this conflict were known as pieds-noirs. This conflict was ended by the Évian Accords, which legitimized control by the FLN. For 10 points, name this prolonged French colonial conflict in North Africa. ANSWER: Algerian War [or Algerian Revolution; or Algerian War of Independence] <Michael Bentley, History - Cross, Historiography, and Miscellaneous> ~31086~ <Editor: Michael Bentley>"
1852933629,test,Bong Joon Ho,Fine_Arts:Film,"7. In a scene by this director, Christmas lights flash more erratically as three detectives drunkenly argue, but calm when one of them vomits. At the end of a film by this director about his country’s first serial killer, a man stares into the camera in front of a golden field. Another film this director ends as a man places a scholar’s rock in a river after seeing a flickering (*) light in an empty house. A montage by this director of Memories of Murder centers around two siblings exploiting a housekeeper’s peach allergy. A film by this director about a family who scams their way into working in a wealthy household was the first non-English film to win the Oscar for Best Picture. For 10 points, name this South Korean director of Parasite. ANSWER: Bong Joon Ho [prompt on Ho] <Jamie Burchett, Fine Arts - Film> ~30822~ <Editor: Ganon Evans>"
468304954,test,The Age of Innocence,Literature:American,"8. A man in this novel says ""EACH TIME YOU HAPPEN TO ME ALL OVER AGAIN"" after explaining he nearly crossed a woman on a train to Washington. This novel's protagonist recalls a scene where a man secretly kisses the end of a woman's long velvet ribbon from the play ""The Shaughraun."" A man in this novel sees a woman standing at the end of a (*) pier who does not turn around to see him. This novel opens with a man watching Christine Nilsson, when Sillerton Jackson and Lawrence Lefferts notice his fiancee's cousin in the Mingotts' opera box. In this novel's last chapter, after the death of his wife May Welland, a man does not go up to a Paris apartment to see Ellen Olenska. For 10 points, name this novel about Newland Archer, by Edith Wharton. ANSWER: The Age of Innocence <Jaimie Carlson, Literature - American - Long Fiction> ~30501~ <Editor: Jaimie Carlson>"
2136858883,test,being in the public domain,Other:Other_Academic_and_General_Knowledge,"9. Description acceptable. Adam Green co-founded an online ""review"" named for this status. An event named for this status was popularized in the early 2000s by Wallace McLean and Lawrence Lessig. This status is usually granted after a high value of years p.m.a. as per the Berne Convention. A 1998 law that delayed many things from automatically gaining this status was sponsored by California Congressman Sonny Bono. A mark denoting this status consists of a slash going through a ""C."" A CC0 (""C-C-zero"") (*) license announces to the world that a work has this status. On an informal January 1 holiday, works that newly have this property can legally be added to Project Gutenberg. For 10 points, name this property that artistic works gain when their copyrights expire. ANSWER: being in the public domain [accept answers regarding not being under copyright or in the public commons or information commons or commons of the mind; accept Public Domain Review; prompt on being under a creative commons license or being free or not being subject to a license; reject ""copyrighted"" or ""under copyright""] <Joseph Chambers, Other - Other Academic and General Knowledge> ~30211~ <Editor: Michael Bentley>"
3068423452,test,orthogonality,Science:Math_and_Computer_Science,"10. In a given dimension, every point group is a subgroup of the group named for this property. Fourier decomposition uses the fact that sines and cosines mutually have this property, which arises because integrals of their products are proportional to the Kronecker delta. Kappa times a vector named for this property equals the derivative of the tangent vector with respect to (*) arc length. This property is achieved via projection and normalization in the Gram–Schmidt process. A value with this property relative to the two inputs is output by the cross product. Two vectors have this relative property if their dot product is zero. For 10 points, name this property possessed by two lines that form a right angle. ANSWER: orthogonality [accept perpendicularity or normality; accept orthonormality] <Forrest Weintraub, Science - Math and Computer Science> ~31123~ <Editor: David Bass> NSC 2025 - Round 24 (Emergency) - Bonuses"
